"","year","male","region","race","bday_m_cutoff","stem","education","income","score","varsity","single_parent_hh"
"1",2010,1,1,4,-80,0,10,52914,950,0,1
"2",2010,0,1,1,-3,0,12,51490,1110,0,0
"3",2010,1,1,4,121,0,10,62137,960,1,0
"4",2010,1,1,1,-21,0,11,72693,1070,0,0
"5",2010,0,1,2,-98,0,11,31239,990,0,0
"6",2010,0,1,1,35,0,14,59492,1260,0,0
"7",2010,0,1,1,32,0,11,65830,1050,0,0
"8",2010,1,1,1,130,0,12,82630,1170,0,0
"9",2010,1,1,1,14,0,11,71122,1090,0,0
"10",2010,0,1,1,158,0,9,70870,930,0,0
"11",2010,1,1,1,163,0,9,70251,940,0,0
"12",2010,0,1,1,-45,0,10,72069,1010,0,0
"13",2010,1,1,1,173,0,9,52436,900,0,1
"14",2010,0,1,2,-35,0,8,18567,790,0,1
"15",2010,1,1,1,160,0,11,89916,1070,0,0
"16",2010,0,1,3,37,0,13,30581,1140,0,1
"17",2010,0,1,1,-66,0,10,45685,950,0,1
"18",2010,1,1,1,44,0,13,80580,1230,0,0
"19",2010,1,1,2,37,0,13,39346,1170,1,1
"20",2010,0,1,3,-46,0,9,38340,900,0,1
"21",2010,1,1,1,-140,0,12,49053,1120,1,1
"22",2010,1,1,1,-83,0,12,101621,1190,0,0
"23",2010,1,1,3,-161,0,9,48715,870,0,1
"24",2010,0,1,3,164,0,12,43466,1090,0,0
"25",2010,0,1,1,-128,0,10,54363,990,0,0
"26",2010,0,1,3,65,0,8,27532,810,0,1
"27",2010,1,1,1,122,0,13,72576,1200,0,0
"28",2010,1,1,1,-168,0,10,56446,950,0,1
"29",2010,0,1,1,-136,0,12,61278,1130,0,0
"30",2010,0,1,1,-115,0,10,50200,980,0,1
"31",2010,1,1,2,-48,0,10,40116,950,0,1
"32",2010,1,1,1,-148,0,12,86400,1180,1,0
"33",2010,0,1,1,-96,0,12,51351,1080,0,1
"34",2010,1,1,1,100,0,10,56605,980,0,1
"35",2010,0,1,1,-8,0,12,67639,1150,0,0
"36",2010,0,1,1,-59,0,8,46843,820,0,0
"37",2010,0,1,1,-1,0,14,53450,1250,0,0
"38",2010,1,1,2,19,0,11,40236,1030,0,0
"39",2010,1,1,1,177,0,12,85717,1180,0,0
"40",2010,0,1,5,-157,0,11,42225,1030,0,0
"41",2010,1,1,1,-115,0,15,74995,1350,0,0
"42",2010,1,1,2,50,0,11,43679,1000,0,0
"43",2010,0,1,1,98,0,9,41482,890,0,1
"44",2010,1,1,1,-180,0,10,79157,1020,0,0
"45",2010,0,1,1,110,0,16,59370,1390,0,0
"46",2010,1,1,1,9,0,10,88908,1010,0,0
"47",2010,1,1,1,-13,0,12,75692,1130,0,0
"48",2010,0,1,3,52,0,10,26619,930,1,1
"49",2010,0,1,2,18,0,10,8809,880,0,1
"50",2010,1,1,1,66,0,12,85430,1180,1,0
"51",2010,1,1,2,164,0,11,57716,1060,0,0
"52",2010,0,1,1,-47,0,15,36799,1280,0,1
"53",2010,0,1,3,-23,0,9,53925,920,0,0
"54",2010,1,1,2,-98,0,12,54281,1130,0,0
"55",2010,0,1,2,-173,0,8,19455,770,0,0
"56",2010,0,1,1,-36,0,15,60070,1340,0,0
"57",2010,0,1,1,-100,0,9,45066,890,0,1
"58",2010,0,1,2,11,0,9,26276,840,0,0
"59",2010,1,1,2,132,0,15,26567,1280,0,0
"60",2010,0,1,1,77,0,13,52982,1190,0,1
"61",2010,0,1,1,-172,0,11,53964,1030,0,0
"62",2010,1,1,1,-82,0,12,89864,1170,0,0
"63",2010,1,1,1,26,0,13,55870,1180,1,1
"64",2010,1,1,4,-55,0,12,58793,1130,0,0
"65",2010,1,1,1,102,0,11,63052,1060,0,0
"66",2010,0,1,1,146,0,12,47448,1110,0,1
"67",2010,0,1,1,-124,0,9,64505,910,0,0
"68",2010,1,1,2,-35,0,14,56117,1230,1,0
"69",2010,1,1,1,-181,0,10,78738,1000,0,0
"70",2010,1,1,1,-49,0,15,56483,1310,0,0
"71",2010,1,1,1,-97,0,9,56517,920,0,1
"72",2010,0,1,2,41,0,10,34950,930,1,0
