"region","year","score"
5,2011,304
2,2011,296
1,2018,336
3,2010,313
2,2014,291
6,2019,334
5,2013,315
5,2012,309
3,2014,327
2,2017,329
2,2018,328
5,2019,345
7,2013,310
6,2011,336
5,2019,346
1,2017,337
3,2020,346
2,2017,327
2,2017,332
4,2021,332
2,2011,294
7,2016,327
1,2018,334
3,2015,328
1,2018,338
1,2017,333
3,2011,315
3,2012,319
5,2009,294
7,2019,351
3,2015,328
2,2013,296
2,2020,328
7,2018,338
6,2021,333
4,2015,324
2,2017,327
2,2017,330
1,2018,333
6,2015,336
1,2019,333
5,2020,351
7,2013,308
6,2015,331
2,2013,295
2,2019,332
1,2014,332
7,2017,333
1,2010,327
7,2021,364
7,2013,305
1,2016,337
2,2020,330
3,2021,347
3,2010,318
2,2009,297
1,2017,336
5,2019,343
3,2017,338
2,2014,293
4,2013,293
3,2017,336
3,2018,336
4,2020,331
7,2012,301
3,2014,331
3,2019,341
1,2016,335
5,2014,320
2,2014,294
5,2015,320
2,2009,298
7,2014,315
1,2010,329
6,2009,338
5,2010,295
6,2012,335
2,2021,335
5,2013,313
3,2014,324
3,2011,318
7,2017,337
2,2012,295
2,2014,294
3,2017,335
3,2017,337
6,2015,339
4,2011,296
7,2016,329
7,2020,353
6,2017,336
5,2011,302
7,2021,364
5,2015,325
4,2011,298
3,2015,330
7,2014,314
3,2018,340
5,2013,315
3,2013,322
2,2016,331
1,2011,330
4,2018,329
5,2010,301
2,2018,330
3,2020,343
5,2010,294
3,2018,339
3,2014,326
3,2020,347
1,2012,333
6,2009,343
5,2014,317
5,2011,306
5,2016,329
5,2011,307
2,2016,329
5,2009,298
3,2015,330
2,2019,327
5,2015,324
5,2021,358
7,2015,323
5,2018,343
6,2014,333
1,2015,335
2,2019,329
7,2018,345
2,2013,293
2,2014,289
7,2016,325
5,2013,319
1,2015,332
3,2019,340
4,2012,296
3,2020,345
1,2020,337
1,2021,343
1,2011,327
3,2017,338
5,2015,324
1,2014,329
1,2018,337
3,2017,336
7,2015,321
2,2010,299
3,2021,350
5,2011,304
5,2016,330
2,2012,297
1,2015,337
5,2012,310
5,2009,297
1,2016,332
2,2012,296
1,2017,333
7,2016,331
4,2014,295
3,2019,341
7,2012,299
5,2016,329
7,2011,295
2,2021,331
7,2012,301
3,2012,318
5,2020,349
3,2014,326
5,2009,297
4,2018,329
5,2019,343
7,2012,299
1,2019,335
5,2017,338
1,2015,336
1,2016,335
3,2013,324
5,2021,355
1,2010,327
2,2019,331
4,2021,332
4,2014,292
1,2017,337
6,2016,335
2,2020,329
5,2018,339
2,2012,292
5,2021,356
3,2021,348
3,2013,323
3,2015,328
3,2021,347
1,2009,330
6,2016,336
7,2016,325
5,2018,341
5,2017,335
7,2016,330
5,2010,300
7,2021,363
1,2013,331
2,2017,329
3,2015,330
3,2015,329
7,2018,342
7,2021,364
7,2020,355
7,2018,344
7,2016,331
4,2014,297
2,2015,328
3,2018,336
5,2019,349
7,2009,277
1,2017,335
2,2021,330
1,2021,340
5,2011,304
5,2018,342
5,2013,315
3,2014,327
6,2021,335
1,2019,337
3,2019,343
2,2017,330
7,2012,297
5,2018,343
3,2015,326
5,2017,334
2,2015,330
7,2018,342
7,2012,303
6,2021,337
3,2016,335
3,2017,334
2,2017,332
3,2017,333
3,2013,325
6,2015,334
3,2014,322
3,2019,340
6,2009,339
7,2018,342
2,2018,330
3,2009,311
7,2018,342
7,2009,280
5,2021,356
7,2018,343
4,2019,332
7,2013,305
2,2015,330
5,2020,350
3,2013,323
3,2018,337
6,2017,335
3,2012,319
5,2014,322
4,2010,297
7,2021,363
6,2009,339
3,2013,324
2,2017,328
1,2012,324
1,2011,329
1,2017,335
5,2009,296
5,2010,301
2,2012,299
7,2018,344
2,2009,301
7,2013,306
7,2013,307
7,2017,333
3,2016,333
1,2015,333
5,2017,334
1,2013,329
2,2021,330
4,2010,297
2,2018,328
7,2014,316
4,2015,333
3,2021,349
4,2017,329
2,2009,300
6,2013,336
3,2021,347
4,2020,326
7,2013,305
1,2016,334
1,2013,331
1,2015,334
5,2012,311
7,2010,284
3,2021,348
3,2009,311
7,2009,277
3,2010,311
3,2009,309
6,2010,339
6,2021,337
4,2016,329
3,2009,313
3,2011,317
6,2010,340
5,2010,298
5,2013,316
1,2020,337
7,2017,335
7,2021,370
3,2018,336
1,2021,337
5,2014,319
6,2018,335
6,2018,333
5,2014,319
5,2020,353
3,2011,317
2,2012,296
4,2019,330
6,2019,337
6,2011,339
6,2021,335
3,2015,330
5,2011,308
1,2010,329
2,2015,331
3,2011,316
1,2017,334
5,2021,353
7,2015,321
7,2017,338
6,2012,334
4,2010,300
6,2014,334
2,2018,326
4,2020,329
3,2017,333
3,2020,339
6,2021,339
1,2021,337
2,2019,332
3,2015,329
3,2021,349
2,2013,295
2,2019,328
5,2009,296
3,2011,317
5,2020,349
1,2010,329
3,2013,320
3,2009,311
5,2020,351
4,2011,298
7,2017,336
1,2010,326
3,2014,326
2,2011,297
1,2011,332
7,2017,334
2,2010,298
2,2009,300
3,2014,326
7,2018,343
1,2016,334
2,2018,330
7,2018,342
3,2021,344
5,2012,312
5,2014,321
1,2012,332
6,2021,338
3,2012,323
1,2017,337
3,2016,333
7,2015,320
7,2018,344
2,2009,297
2,2010,296
5,2016,332
2,2011,295
3,2018,342
3,2015,330
5,2019,346
4,2009,295
3,2020,344
5,2010,300
3,2011,317
7,2021,363
1,2021,335
5,2011,303
5,2014,321
5,2018,341
5,2013,311
2,2012,295
6,2010,342
3,2009,309
4,2020,335
2,2009,298
1,2020,335
3,2013,327
4,2020,330
3,2010,316
4,2010,296
5,2020,351
5,2011,307
5,2013,315
3,2014,328
2,2018,330
2,2011,297
3,2019,341
7,2011,293
5,2009,298
4,2016,329
5,2009,297
6,2019,340
1,2012,331
7,2016,331
3,2020,343
1,2021,342
3,2018,337
7,2018,341
3,2016,334
3,2020,340
6,2015,332
4,2010,294
3,2009,311
5,2012,307
3,2019,340
4,2017,330
1,2013,333
3,2019,341
6,2020,339
1,2016,333
3,2010,310
7,2013,308
7,2021,364
7,2010,290
3,2014,321
3,2018,334
1,2018,336
7,2017,330
2,2019,327
3,2015,330
3,2014,326
4,2020,330
4,2011,298
6,2019,334
5,2016,329
7,2019,350
1,2015,333
3,2012,320
3,2016,330
4,2020,334
5,2011,299
1,2016,337
2,2014,293
4,2012,294
1,2015,333
4,2018,330
5,2019,343
6,2016,335
5,2012,312
4,2018,327
4,2017,332
3,2014,323
4,2011,293
2,2012,297
2,2017,327
3,2017,335
2,2012,296
3,2012,320
3,2014,326
3,2013,324
1,2009,327
7,2016,328
5,2015,325
2,2020,332
3,2013,324
3,2014,323
3,2011,313
3,2016,330
1,2018,337
4,2013,294
7,2015,320
5,2012,310
3,2020,345
1,2017,336
3,2019,342
5,2019,345
3,2011,318
4,2021,334
3,2018,339
6,2015,337
3,2021,348
7,2010,288
2,2017,329
7,2014,315
6,2012,338
3,2014,330
5,2010,298
1,2010,329
5,2016,335
3,2016,333
6,2019,335
6,2013,334
3,2017,338
5,2015,323
4,2011,300
1,2015,335
7,2016,326
5,2019,346
7,2018,341
3,2013,324
1,2009,327
3,2015,327
1,2014,332
4,2016,332
3,2012,321
3,2014,322
3,2020,347
4,2009,300
2,2011,295
1,2020,339
5,2012,308
2,2009,294
5,2013,317
2,2019,329
5,2012,309
6,2010,341
7,2015,320
5,2011,308
6,2018,331
3,2011,314
4,2019,331
1,2009,326
4,2015,330
1,2021,338
7,2014,316
3,2020,343
7,2012,302
5,2013,317
1,2015,332
5,2011,306
7,2010,289
6,2016,336
1,2012,330
2,2014,294
3,2021,346
4,2018,328
1,2015,333
6,2019,334
6,2019,337
6,2014,336
5,2009,294
1,2014,331
3,2016,330
6,2011,340
3,2010,315
7,2019,352
6,2011,338
1,2009,331
7,2010,284
7,2010,287
6,2016,333
3,2018,333
5,2012,307
6,2017,335
3,2021,349
3,2015,332
1,2016,330
7,2021,364
2,2011,295
5,2014,317
4,2019,330
7,2014,314
6,2021,339
3,2016,331
3,2009,307
6,2020,338
7,2010,286
3,2013,325
3,2016,330
4,2016,328
5,2020,348
1,2015,333
7,2013,304
3,2009,312
5,2018,340
2,2019,330
4,2017,326
6,2017,332
1,2019,336
5,2015,327
2,2018,330
1,2012,330
7,2021,366
3,2016,330
1,2019,334
4,2012,297
1,2021,340
2,2011,298
3,2015,328
3,2009,312
3,2014,325
5,2021,352
1,2018,332
1,2020,342
5,2018,341
7,2009,276
7,2015,321
3,2013,321
3,2014,325
6,2018,337
2,2021,331
7,2014,313
1,2017,335
3,2016,331
1,2009,327
4,2014,296
1,2010,328
5,2016,331
6,2020,336
7,2018,342
5,2016,330
7,2017,335
3,2016,331
3,2017,331
6,2017,337
5,2012,309
